Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count
Drug,20205639,2010,R01NS050895,2004,2018,2010,2010R01NS050895,509534,R01,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,20497044,2010,K23NS048855,2005,2009,2009,2009K23NS048855,188407,K23,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,20548049,2010,R41NS056856,2008,2008,2008,2008R41NS056856,168106,R41,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,20205639,2010,U44NS065518,2009,2013,2010,2010U44NS065518,359184,U44,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,23555764,2013,U24NS072026,2011,2015,2013,2013U24NS072026,1604846,U24,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,24450891,2014,R01NS080820,2013,2017,2014,2014R01NS080820,359493,R01,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,19923550,2009,P20RR020626,2004,2006,2006,2006P20RR020626,607840,P20,RR,NCRR,National Center for Research Resources,National Center for Research Resources,3
Drug,19923550,2009,P50MH068789,2004,2008,2008,2008P50MH068789,1887949,P50,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1
Drug,24733588,2015,R01MH098737,2012,2015,2015,2015R01MH098737,356355,R01,MH,NIMH,National Institute of Mental Health,National Institute of Mental Health,1
Drug,19923550,2009,R21DK062098,2004,2005,2005,2005R21DK062098,241087,R21,DK,NIDDK,National Institute of Diabetes and Digestive and Kidney Diseases,National Institute of Diabetes and Digestive and Kidney Diseases,1
Drug,19923550,2009,RL1AA017536,2007,2011,2009,2009RL1AA017536,537348,RL1,AA,NIAAA,National Institute on Alcohol Abuse and Alcoholism,National Institute on Alcohol Abuse and Alcoholism,2
Drug,19923550,2009,R01HL091099,2008,2010,2009,2009R01HL091099,780849,R01,HL,NHLBI,"National Heart, Lung, and Blood Institute","National Heart, Lung, and Blood Institute",2
Drug,19923549,2009,K01EB009724,2009,2009,2009,2009K01EB009724,120809,K01,EB,NIBIB,National Institute of Biomedical Imaging and Bioengineering,National Institute of Biomedical Imaging and Bioengineering,1
Drug,19923549,2009,R49CE001495,2009,2013,2009,2009R49CE001495,1140538,R49,CE,NCIPC,National Center for Injury Prevention and Control,National Center for Injury Prevention and Control,1
Drug,31168802,2019,P01AG015379,1999,2020,2019,2019P01AG015379,1702334,P01,AG,NIA,National Institute on Aging,National Institute on Aging,2
Drug,32418361,2020,P30AG019610,2001,2020,2020,2020P30AG019610,3285361,P30,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,30231896,2018,P30AG019610,2001,2020,2018,2018P30AG019610,2991508,P30,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,30090848,2018,P30AG019610,2001,2020,2018,2018P30AG019610,2991508,P30,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,29955659,2018,P30AG019610,2001,2020,2018,2018P30AG019610,2991508,P30,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,29405233,2018,P30AG019610,2001,2020,2018,2018P30AG019610,2991508,P30,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,31168802,2019,R01AG046275,2014,2018,2018,2018R01AG046275,354897,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,31168802,2019,RF1AG006173,2017,2017,2017,2017RF1AG006173,2260184,RF1,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,32418361,2020,R01AG055444,2017,2021,2020,2020R01AG055444,2150786,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,30090848,2018,R01AG055444,2017,2021,2018,2018R01AG055444,2207066,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,29955659,2018,R01AG055444,2017,2021,2018,2018R01AG055444,2207066,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,29405233,2018,R01AG055444,2017,2021,2018,2018R01AG055444,2207066,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,32568196,2020,P30AG066462,2020,2021,2020,2020P30AG066462,3262290,P30,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,31647950,2020,K12GM088021,2009,2020,2020,2020K12GM088021,1016449,K12,GM,NIGMS,National Institute of General Medical Sciences,National Institute of General Medical Sciences,1
Drug,28924036,2017,ZIABC010442,2009,2019,2017,2017ZIABC010442,155206,ZIA,BC,FDA,Division of Basic Sciences,Division of Basic Sciences,1
Drug,29695589,2018,UL1TR001863,2016,2020,2018,2018UL1TR001863,9546825,UL1,TR,NCATS,National Center for Advancing Translational Sciences,National Center for Advancing Translational Sciences,2
Drug,31647950,2020,R21NS111267,2019,2019,2019,2019R21NS111267,394749,R21,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,24886908,2014,P50AG005131,1999,2018,2014,2014P50AG005131,3366686,P50,AG,NIA,National Institute on Aging,National Institute on Aging,2
Drug,26526537,2015,P50AG005138,1999,2019,2015,2015P50AG005138,2165092,P50,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,24886908,2014,U01AG010483,1999,2012,2012,2012U01AG010483,6651372,U01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,22672770,2012,U01AG010483,1999,2012,2012,2012U01AG010483,6651372,U01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,29683808,2018,P50AG016573,2000,2019,2018,2018P50AG016573,2240469,P50,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,22672770,2012,R01AG016381,2000,2009,2009,2009R01AG016381,1024741,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,27725918,2016,P30AG019610,2001,2020,2016,2016P30AG019610,1901149,P30,AG,NIA,National Institute on Aging,National Institute on Aging,2
Drug,27725918,2016,R01AG019795,2001,2013,2013,2013R01AG019795,347234,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,29955651,2018,U01AG024904,2004,2015,2015,2015U01AG024904,9895590,U01,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,27019841,2015,U01AG024904,2004,2015,2015,2015U01AG024904,9895590,U01,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,26402769,2015,U01AG024904,2004,2015,2015,2015U01AG024904,9895590,U01,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,22672770,2012,U01AG024904,2004,2015,2012,2012U01AG024904,890755,U01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,22672770,2012,P01AG030004,2008,2012,2012,2012P01AG030004,1372066,P01,AG,NIA,National Institute on Aging,National Institute on Aging,2
Drug,22672770,2012,R01AG030048,2008,2012,2012,2012R01AG030048,699765,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,22672770,2012,R01AG030457,2008,2010,2010,2010R01AG030457,438788,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,26526537,2015,RF1AG042965,2012,2012,2012,2012RF1AG042965,564140,RF1,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,24886908,2014,U19AG010483,2013,2020,2014,2014U19AG010483,13789415,U19,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,26526537,2015,U01AG046170,2013,2020,2015,2015U01AG046170,2023621,U01,AG,NIA,National Institute on Aging,National Institute on Aging,3
Drug,26526537,2015,R34AG049649,2014,2014,2014,2014R34AG049649,388743,R34,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,26215784,2015,R01AG046275,2014,2018,2015,2015R01AG046275,365763,R01,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,29683808,2018,R21AG056931,2017,2018,2018,2018R21AG056931,183868,R21,AG,NIA,National Institute on Aging,National Institute on Aging,1
Drug,31910414,2020,P30DK026743,1999,2020,2020,2020P30DK026743,1116637,P30,DK,NIDDK,National Institute of Diabetes and Digestive and Kidney Diseases,National Institute of Diabetes and Digestive and Kidney Diseases,2
Drug,28593105,2017,R01NS067435,2010,2014,2014,2014R01NS067435,351176,R01,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,27725918,2016,U24NS072026,2011,2015,2015,2015U24NS072026,1703542,U24,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,26526537,2015,R01NS075685,2012,2015,2015,2015R01NS075685,392805,R01,NS,NINDS,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,1
Drug,27266343,2016,ZIABC010440,2009,2019,2016,2016ZIABC010440,754991,ZIA,BC,FDA,Division of Basic Sciences,Division of Basic Sciences,1
Drug,27266343,2016,ZIABC010441,2009,2019,2016,2016ZIABC010441,603993,ZIA,BC,FDA,Division of Basic Sciences,Division of Basic Sciences,1
Drug,27266343,2016,ZIABC010442,2009,2019,2016,2016ZIABC010442,150998,ZIA,BC,FDA,Division of Basic Sciences,Division of Basic Sciences,1
Drug,24886908,2014,KL2RR031978,2010,2011,2011,2011KL2RR031978,515529,KL2,RR,NCRR,National Center for Research Resources,National Center for Research Resources,1
Drug,26526537,2015,R21AT005510,2010,2014,2014,2014R21AT005510,174394,R21,AT,NCCIH,National Center for Complementary and Integrative Health,National Center for Complementary and Integrative Health,1
Drug,29683808,2018,UL1TR000153,2012,2015,2015,2015UL1TR000153,1755074,UL1,TR,NCATS,National Center for Advancing Translational Sciences,National Center for Advancing Translational Sciences,1
Drug,29683808,2018,UL1TR001414,2015,2021,2018,2018UL1TR001414,4491764,UL1,TR,NCATS,National Center for Advancing Translational Sciences,National Center for Advancing Translational Sciences,2
