PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count,search_term,avg_cost
27269940,2016,P01CA018029,1999,2020,2016,2016P01CA018029,4420663,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2210331.5
26369987,2016,P01CA018029,1999,2020,2016,2016P01CA018029,4420663,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2210331.5
26525103,2015,P01CA018029,1999,2020,2015,2015P01CA018029,4476439,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2238219.5
26463711,2015,P01CA018029,1999,2020,2015,2015P01CA018029,4476439,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2238219.5
25317334,2014,P01CA018029,1999,2020,2014,2014P01CA018029,4347476,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2173738.0
24329795,2014,P01CA018029,1999,2020,2014,2014P01CA018029,4347476,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2173738.0
23756210,2013,P01CA018029,1999,2020,2013,2013P01CA018029,4281333,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2140666.5
23620405,2013,P01CA018029,1999,2020,2013,2013P01CA018029,4281333,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2140666.5
22992235,2012,P01CA018029,1999,2020,2012,2012P01CA018029,4621372,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,924274.4
22798667,2012,P01CA018029,1999,2020,2012,2012P01CA018029,4621372,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,924274.4
22308288,2012,P01CA018029,1999,2020,2012,2012P01CA018029,4621372,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,924274.4
22031866,2012,P01CA018029,1999,2020,2012,2012P01CA018029,4621372,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,924274.4
21753797,2012,P01CA018029,1999,2020,2012,2012P01CA018029,4621372,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,924274.4
21301477,2011,P01CA018029,1999,2020,2011,2011P01CA018029,6062645,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2020881.6666666667
21237630,2011,P01CA018029,1999,2020,2011,2011P01CA018029,6062645,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2020881.6666666667
21195305,2011,P01CA018029,1999,2020,2011,2011P01CA018029,6062645,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2020881.6666666667
20702778,2010,P01CA018029,1999,2020,2010,2010P01CA018029,5330219,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1332554.75
20693850,2010,P01CA018029,1999,2020,2010,2010P01CA018029,5330219,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1332554.75
20466273,2010,P01CA018029,1999,2020,2010,2010P01CA018029,5330219,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1332554.75
20220093,2010,P01CA018029,1999,2020,2010,2010P01CA018029,5330219,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1332554.75
19880489,2009,P01CA018029,1999,2020,2009,2009P01CA018029,6172493,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2057497.6666666667
19702439,2009,P01CA018029,1999,2020,2009,2009P01CA018029,6172493,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2057497.6666666667
19209146,2009,P01CA018029,1999,2020,2009,2009P01CA018029,6172493,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2057497.6666666667
18453625,2008,P01CA018029,1999,2020,2008,2008P01CA018029,5930131,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1482532.75
18424189,2008,P01CA018029,1999,2020,2008,2008P01CA018029,5930131,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1482532.75
18242060,2008,P01CA018029,1999,2020,2008,2008P01CA018029,5930131,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1482532.75
18060041,2008,P01CA018029,1999,2020,2008,2008P01CA018029,5930131,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1482532.75
17696816,2007,P01CA018029,1999,2020,2007,2007P01CA018029,6160260,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,6160260.0
16997174,2006,P01CA018029,1999,2020,2006,2006P01CA018029,8603994,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,2867998.0
16474399,2006,P01CA018029,1999,2020,2006,2006P01CA018029,8603994,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,2867998.0
16469329,2006,P01CA018029,1999,2020,2006,2006P01CA018029,8603994,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,2867998.0
16078276,2005,P01CA018029,1999,2020,2005,2005P01CA018029,8864298,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,8864298.0
14525766,2004,P01CA018029,1999,2020,2004,2004P01CA018029,8925708,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,8925708.0
12393495,2003,P01CA018029,1999,2020,2003,2003P01CA018029,8917000,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,8917000.0
12165546,2002,P01CA018029,1999,2020,2002,2002P01CA018029,8879223,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2959741.0
12097421,2002,P01CA018029,1999,2020,2002,2002P01CA018029,8879223,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2959741.0
11965232,2002,P01CA018029,1999,2020,2002,2002P01CA018029,8879223,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2959741.0
10855770,2000,P01CA018029,1999,2020,2000,2000P01CA018029,8277788,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,8277788.0
22536156,2012,P01CA019014,1999,2020,2012,2012P01CA019014,2003705,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLonly,2003705.0
16361564,2005,P01CA023766,1999,2020,2005,2005P01CA023766,3784901,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,946225.25
16034072,2005,P01CA023766,1999,2020,2005,2005P01CA023766,3784901,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,946225.25
15958591,2005,P01CA023766,1999,2020,2005,2005P01CA023766,3784901,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,946225.25
15514011,2005,P01CA023766,1999,2020,2005,2005P01CA023766,3784901,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,946225.25
31170111,2019,P01CA023766,1999,2020,2019,2019P01CA023766,2527785,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2527785.0
28872470,2017,P01CA023766,1999,2020,2017,2017P01CA023766,2999697,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,999899.0
28067900,2017,P01CA023766,1999,2020,2017,2017P01CA023766,2999697,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,999899.0
27924074,2017,P01CA023766,1999,2020,2017,2017P01CA023766,2999697,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,999899.0
27721032,2016,P01CA023766,1999,2020,2016,2016P01CA023766,3081571,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,513595.1666666667
27496730,2016,P01CA023766,1999,2020,2016,2016P01CA023766,3081571,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,513595.1666666667
27227483,2016,P01CA023766,1999,2020,2016,2016P01CA023766,3081571,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,513595.1666666667
27207800,2016,P01CA023766,1999,2020,2016,2016P01CA023766,3081571,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,513595.1666666667
27042851,2016,P01CA023766,1999,2020,2016,2016P01CA023766,3081571,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,513595.1666666667
26325439,2016,P01CA023766,1999,2020,2016,2016P01CA023766,3081571,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,513595.1666666667
26028505,2015,P01CA023766,1999,2020,2015,2015P01CA023766,3182617,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1060872.3333333333
25559515,2015,P01CA023766,1999,2020,2015,2015P01CA023766,3182617,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1060872.3333333333
29644163,2015,P01CA023766,1999,2020,2015,2015P01CA023766,3182617,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1060872.3333333333
24329800,2014,P01CA023766,1999,2020,2014,2014P01CA023766,3075057,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,3075057.0
21925091,2011,P01CA023766,1999,2020,2011,2011P01CA023766,3351206,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1675603.0
21148520,2011,P01CA023766,1999,2020,2011,2011P01CA023766,3351206,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1675603.0
20537908,2010,P01CA023766,1999,2020,2010,2010P01CA023766,3589870,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1794935.0
19773745,2010,P01CA023766,1999,2020,2010,2010P01CA023766,3589870,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1794935.0
19635907,2009,P01CA023766,1999,2020,2009,2009P01CA023766,3600569,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1800284.5
19238016,2009,P01CA023766,1999,2020,2009,2009P01CA023766,3600569,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1800284.5
18089827,2007,P01CA023766,1999,2020,2007,2007P01CA023766,3485578,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1742789.0
17222766,2007,P01CA023766,1999,2020,2007,2007P01CA023766,3485578,P01,CA,NCI,National Cancer Institute,National Cancer Institute,3,B_CELLCAR_T,1742789.0
16763208,2006,P01CA023766,1999,2020,2006,2006P01CA023766,3674429,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,3674429.0
11861290,2002,P01CA023766,1999,2020,2002,2002P01CA023766,3088500,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,3088500.0
11012250,2000,P01CA023766,1999,2020,2000,2000P01CA023766,3011694,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,3011694.0
9885208,1999,P01CA023766,1999,2020,1999,1999P01CA023766,0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,0.0
18046446,2008,P01CA055819,1999,2013,2008,2008P01CA055819,4120282,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2060141.0
18950462,2008,P01CA055819,1999,2013,2008,2008P01CA055819,4120282,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2060141.0
28431262,2017,P01CA055819,1999,2013,2013,2013P01CA055819,3667693,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1222564.3333333333
25415285,2015,P01CA055819,1999,2013,2013,2013P01CA055819,3667693,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1222564.3333333333
24941378,2014,P01CA055819,1999,2013,2013,2013P01CA055819,3667693,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1222564.3333333333
22900959,2012,P01CA055819,1999,2013,2012,2012P01CA055819,3967473,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1983736.5
22419581,2012,P01CA055819,1999,2013,2012,2012P01CA055819,3967473,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1983736.5
11972511,2002,P01CA055819,1999,2013,2002,2002P01CA055819,5066446,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,5066446.0
25582824,2015,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
27789538,2016,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
27693350,2016,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
27227483,2016,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
27068948,2016,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
27000958,2016,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
26977780,2016,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
26525683,2016,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
26110267,2015,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
25751502,2015,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
29644163,2015,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
23550147,2013,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
23008334,2012,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
22354001,2012,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
22262649,2012,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
22138512,2012,P01CA059350,1999,2012,2012,2012P01CA059350,164054,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,10253.375
20190192,2010,P01CA059350,1999,2012,2010,2010P01CA059350,2396949,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1198474.5
19773745,2010,P01CA059350,1999,2012,2010,2010P01CA059350,2396949,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1198474.5
19635907,2009,P01CA059350,1999,2012,2009,2009P01CA059350,2398588,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,599647.0
19238016,2009,P01CA059350,1999,2012,2009,2009P01CA059350,2398588,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,599647.0
19219023,2009,P01CA059350,1999,2012,2009,2009P01CA059350,2398588,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,599647.0
19033646,2009,P01CA059350,1999,2012,2009,2009P01CA059350,2398588,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,599647.0
19047169,2008,P01CA059350,1999,2012,2008,2008P01CA059350,2330323,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,776774.3333333334
18552144,2008,P01CA059350,1999,2012,2008,2008P01CA059350,2330323,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,776774.3333333334
18376399,2008,P01CA059350,1999,2012,2008,2008P01CA059350,2330323,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,776774.3333333334
18089827,2007,P01CA059350,1999,2012,2007,2007P01CA059350,2402864,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,600716.0
18026115,2007,P01CA059350,1999,2012,2007,2007P01CA059350,2402864,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,600716.0
17855649,2007,P01CA059350,1999,2012,2007,2007P01CA059350,2402864,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,600716.0
17222766,2007,P01CA059350,1999,2012,2007,2007P01CA059350,2402864,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,600716.0
16607546,2006,P01CA059350,1999,2012,2006,2006P01CA059350,2491198,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2491198.0
15217559,2004,P01CA059350,1999,2012,2004,2004P01CA059350,3243026,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,1621513.0
15060556,2004,P01CA059350,1999,2012,2004,2004P01CA059350,3243026,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,1621513.0
12805061,2003,P01CA059350,1999,2012,2003,2003P01CA059350,2673699,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,1336849.5
12579196,2003,P01CA059350,1999,2012,2003,2003P01CA059350,2673699,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,1336849.5
11861290,2002,P01CA059350,1999,2012,2002,2002P01CA059350,3115274,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1557637.0
11753365,2002,P01CA059350,1999,2012,2002,2002P01CA059350,3115274,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,1557637.0
18025170,2007,P01CA062242,1999,2009,2007,2007P01CA062242,1723375,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLonly,1723375.0
21687682,2011,P01CA068484,1999,2010,2010,2010P01CA068484,3909814,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,3909814.0
10552964,1999,P01CA068484,1999,2010,1999,1999P01CA068484,0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,0.0
27127303,2016,P01CA078378,1999,2014,2014,2014P01CA078378,1999738,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,999869.0
26370838,2015,P01CA078378,1999,2014,2014,2014P01CA078378,1999738,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,999869.0
15692072,2005,P01CA078378,1999,2014,2005,2005P01CA078378,2599265,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,2599265.0
21902685,2011,P01CA078378,1999,2014,2011,2011P01CA078378,2215424,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2215424.0
20145548,2010,P01CA078378,1999,2014,2010,2010P01CA078378,2368006,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2368006.0
12750280,2003,P01CA078378,1999,2014,2003,2003P01CA078378,2616143,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1,B_CELLCAR_T,2616143.0
11380416,2001,P01CA078378,1999,2014,2001,2001P01CA078378,2131178,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2131178.0
11049026,2000,P01CA078378,1999,2014,2000,2000P01CA078378,2366508,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2,B_CELLCAR_T,2366508.0
28747530,2017,P30CA006516,1999,2021,2017,2017P30CA006516,12273156,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLonly,12273156.0
18337558,2008,P30CA006927,1999,2021,2008,2008P30CA006927,9696166,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4,B_CELLCAR_T,9696166.0
27861156,2016,P30CA006927,1999,2021,2016,2016P30CA006927,3655886,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8,B_CELLCAR_T,1827943.0
26885370,2016,P30CA006927,1999,2021,2016,2016P30CA006927,3655886,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8,B_CELLCAR_T,1827943.0
23906377,2013,P30CA006927,1999,2021,2013,2013P30CA006927,4932106,P30,CA,NCI,National Cancer Institute,National Cancer Institute,7,B_CELLCAR_T,4932106.0
31135528,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31113804,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30918115,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30894515,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31723825,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31650176,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31506382,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31451444,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31355495,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31270272,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31262783,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31170111,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31124841,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31114023,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
31031009,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30938714,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30918399,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30889381,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30694219,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30579863,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30559421,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30382614,2019,P30CA008748,1999,2021,2019,2019P30CA008748,13860589,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5,B_CELLCAR_T,630026.7727272727
30442502,2018,P30CA008748,1999,2021,2018,2018P30CA008748,13320025,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6,B_CELLCAR_T,512308.6538461539
29909915,2018,P30CA008748,1999,2021,2018,2018P30CA008748,13320025,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6,B_CELLCAR_T,512308.6538461539
29678657,2018,P30CA008748,1999,2021,2018,2018P30CA008748,13320025,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6,B_CELLCAR_T,512308.6538461539
29105517,2018,P30CA008748,1999,2021,2018,2018P30CA008748,13320025,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6,B_CELLCAR_T,512308.6538461539
